fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2012-12-31,211638000,68807000,119000,17826000,-4218000,42198000,9169000,-25564000,-15376000,225242000,-31414000,-166124000,-950000000,None,None,None,29801000,29801000,None,None,None,None,-37333000,572000,15481000,1381000,143530000
2012-09-30,205431000,3024000,178000,11754000,19019000,40130000,8704000,16552000,2467000,116708000,-1417271000,1039631000,0,None,None,None,13429000,13429000,None,None,None,None,12291000,500000,-163789000,8420000,116708000
2012-06-30,119326000,1694000,554000,15565000,-26523000,36362000,10524000,-28533000,2010000,114813000,-28064000,-17363000,0,None,None,None,13383000,13383000,None,None,None,None,11964000,523000,67180000,-6719000,114813000
2012-03-31,141457000,846000,464000,-35936000,8506000,36058000,10008000,15968000,-7462000,108309000,-28796000,-2274000,0,None,None,None,13290000,13290000,None,None,None,None,17473000,600000,113617000,3230000,108309000
2011-12-31,192544000,72821000,437000,16931000,346000,33646000,11559000,-5043000,5389000,187354000,-19277000,-74725000,-85000000,None,None,None,10561000,10561000,None,None,None,None,14203000,515000,91647000,-6895000,121676000
2011-09-30,166557000,6344000,430000,-730000,3106000,36185000,9753000,6216000,-3110000,110281000,-32232000,-80011000,-70000000,None,None,None,10527000,10527000,None,None,None,None,2095000,530000,50427000,-3887000,110281000
2011-06-30,155933000,-12775000,297000,34058000,-13519000,35411000,10577000,-4566000,-8953000,106311000,-215229000,-5861000,10000000,None,None,None,10544000,10544000,None,None,None,None,4787000,480000,-65420000,-263000,106311000
2011-03-31,86584000,2320000,826000,-16612000,-34540000,34901000,8813000,-18181000,-16359000,88979000,-9011000,-96082000,-85000000,None,None,None,10458000,10458000,None,None,None,None,9186000,579000,-8947000,9562000,88979000
2010-12-31,150576000,64460000,1295000,19430000,-11104000,32548000,8200000,-12694000,1590000,166158000,-8285000,-125710000,-128000000,None,None,None,8984000,8984000,None,None,None,None,12553000,461000,15035000,-1546000,107311000
2010-09-30,143609000,3572000,451000,17484000,-14397000,32842000,6278000,-8118000,-6279000,84263000,-528378000,341884000,358000000,None,None,None,8929000,8929000,None,None,None,None,8927000,461000,-35381000,7504000,84263000
2010-06-30,110269000,-7268000,482000,27487000,-6435000,28537000,7628000,-7781000,1346000,71281000,-7967000,-518000,0,None,None,None,8915000,8915000,None,None,None,None,6413000,367000,99455000,-2329000,71281000
2010-03-31,95086000,-670000,3840000,-11861000,437000,29094000,6485000,2781000,-2344000,59725000,-18644000,-48047000,-40000000,None,None,None,8878000,8878000,None,None,None,None,2851000,408000,23577000,-4818000,59725000
2009-12-31,119650000,42725000,629000,5928000,-6549000,28913000,7177000,-23134000,16585000,120768000,-361219000,152946000,-318000000,None,None,None,7480000,7480000,None,None,None,None,128804000,397000,-88316000,307000,71924000
2009-09-30,86987000,-11374000,769000,-2333000,6701000,25280000,6349000,945000,5756000,56410000,-7380000,-48691000,160000000,None,None,None,7493000,7493000,None,None,None,None,1807000,406000,35198000,4282000,56410000
2009-06-30,110285000,None,None,None,None,25602000,7131000,None,11595000,59588000,1281000,-76958000,None,None,None,None,7456000,7456000,None,None,None,None,None,378000,43317000,8709000,59588000
